"filename", "language", "C++", "YAML", "Markdown", "Swift", "HTML", "JSON", "Dart", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\custom_speed_box.dart", "Dart", 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 3, 4, 144
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\custom_status_box.dart", "Dart", 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 6, 6, 156
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\custom_text_filed_password.dart", "Dart", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 5, 68
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\dialog_item_add_car.dart", "Dart", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 2, 70
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\my_elevated_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 3, 45
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\my_text_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 4, 42
"c:\Users\ANTER\Downloads\Safe_Steer-master\lib\widgets\profile_item.dart", "Dart", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 1, 65
"c:\Users\ANTER\Downloads\Safe_Steer-master\linux\flutter\generated_plugin_registrant.cc", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\ANTER\Downloads\Safe_Steer-master\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\ANTER\Downloads\Safe_Steer-master\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ANTER\Downloads\Safe_Steer-master\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\ANTER\Downloads\Safe_Steer-master\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\ANTER\Downloads\Safe_Steer-master\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 4, 31
"c:\Users\ANTER\Downloads\Safe_Steer-master\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\ANTER\Downloads\Safe_Steer-master\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ANTER\Downloads\Safe_Steer-master\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 69
"c:\Users\ANTER\Downloads\Safe_Steer-master\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\ANTER\Downloads\Safe_Steer-master\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\ANTER\Downloads\Safe_Steer-master\macos\firebase_app_id_file.json", "JSON", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\ANTER\Downloads\Safe_Steer-master\pubspec.yaml", "YAML", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 55, 8, 97
"c:\Users\ANTER\Downloads\Safe_Steer-master\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 10, 7, 31
"c:\Users\ANTER\Downloads\Safe_Steer-master\web\index.html", "HTML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 16, 6, 60
"c:\Users\ANTER\Downloads\Safe_Steer-master\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"c:\Users\ANTER\Downloads\Safe_Steer-master\windows\flutter\generated_plugin_registrant.cc", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 30
"c:\Users\ANTER\Downloads\Safe_Steer-master\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\ANTER\Downloads\Safe_Steer-master\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\ANTER\Downloads\Safe_Steer-master\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\ANTER\Downloads\Safe_Steer-master\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\ANTER\Downloads\Safe_Steer-master\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\ANTER\Downloads\Safe_Steer-master\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\ANTER\Downloads\Safe_Steer-master\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\ANTER\Downloads\Safe_Steer-master\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\ANTER\Downloads\Safe_Steer-master\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 553, 37, 13, 70, 38, 311, 4536, 463, 8, 95, 736, 502, 7362
